ID_AMBITO_UNIVOCO;DESCRIZIONE;AMBITO_DISC;ID_ATTIVITA_FORMATIVA;CLASSE;
14;Discipline Matematiche, Informatiche e Statistiche;1;A;1;
1;Discipline Fisiche;2;A;1;
2;Discipline Chimiche;3;A;1;
3;Discipline Biologiche;4;A;1;
4;Discipline Biotecnologiche Comuni;1;B;1;
5;Discipline Biotecnologiche con Finalita Specifiche: Agrarie;2;B;1;
6;Discipline Biotecnologiche con Finalita Specifiche: Biologiche;3;B;1;
7;Discipline Biotecnologiche con Finalita Specifiche: Chimiche;4;B;1;
8;Discipline Biotecnologiche con Finalita Specifiche: Mediche e dell'Ingegneria;5;B;1;
9;Discipline Biotecnologiche con Finalita Specifiche: Veterinarie;6;B;1;
10;Formazione Multidisciplinare;1;C;1;
2541;A Scelta dello Studente;1;D;1;
11;Prova Finale;1;E;1;
12;Lingua Straniera;2;E;1;
2956;Valore Totale se Dato Disaggregato Non Disponibile;3;E;1;
13;Ulteriori Conoscenze Linguistiche;1;F;1;
1918;Abilità Informatiche e Relazionali;2;F;1;
2073;Tirocini;3;F;1;
2229;Altro;4;F;1;
2385;Valore Totale se Dato Disaggregato Non Disponibile;5;F;1;
3112;Discipline Biotecnologiche Comuni;1;T;1;
2542;Discipline Biotecnologiche con Finalita Specifiche: Agrarie;2;T;1;
2543;Discipline Biotecnologiche con Finalita Specifiche: Biologiche;3;T;1;
2544;Discipline Biotecnologiche con Finalita Specifiche: Chimiche;4;T;1;
2545;Discipline Biotecnologiche con Finalita Specifiche: Mediche e dell'Ingegneria;5;T;1;
2546;Discipline Biotecnologiche con Finalita Specifiche: Veterinarie;6;T;1;
15;Discipline Metodologiche;1;A;2;
16;Storico-Giuridico, Filosofico, Informatico-Giuridico;2;A;2;
17;Pubblicistico;1;B;2;
18;Privatistico;2;B;2;
19;Discipline Giuridiche d' Impresa;3;B;2;
20;Economia Pubblica;4;B;2;
21;Economico - Gestionale;1;C;2;
22;Informatica;2;C;2;
23;Discipline Giuridiche;3;C;2;
24;A Scelta dello Studente;1;D;2;
25;Prova Finale;1;E;2;
26;Lingua Straniera;2;E;2;
2957;Valore Totale se Dato Disaggregato Non Disponibile;3;E;2;
27;Ulteriori Conoscenze Linguistiche;1;F;2;
1917;Abilità Informatiche e Relazionali;2;F;2;
2074;Tirocini;3;F;2;
2230;Altro;4;F;2;
2386;Valore Totale se Dato Disaggregato Non Disponibile;5;F;2;
2547;Pubblicistico;1;T;2;
2548;Privatistico;2;T;2;
2549;Discipline Giuridiche d' Impresa;3;T;2;
2550;Economia Pubblica;4;T;2;
28;Lingua e Letteratura Italiana;1;A;3;
29;Lingue di Studio e Culture dei Rispettivi Paesi;2;A;3;
30;Principi di Linguistica Generale e Applicata;3;A;3;
31;Mediazione Linguistica da e Verso le Lingue di Studio;1;B;3;
32;Discipline Economiche;1;C;3;
33;Discipline Giuridiche;2;C;3;
34;Discipline Storiche, Sociologiche e Geografiche;3;C;3;
35;A Scelta dello Studente;1;D;3;
36;Prova Finale;1;E;3;
37;Lingua Straniera;2;E;3;
2958;Valore Totale se Dato Disaggregato Non Disponibile;3;E;3;
38;Ulteriori Conoscenze Linguistiche;1;F;3;
1919;Abilità Informatiche e Relazionali;2;F;3;
2075;Tirocini;3;F;3;
2231;Altro;4;F;3;
2387;Valore Totale se Dato Disaggregato Non Disponibile;5;F;3;
40;Formazione Scientifica di Base;1;A;4;
41;Formazione di Base nella Storia e nella Rappresentazione;2;A;4;
42;Architettura e Urbanistica;1;B;4;
43;Edilizia e Ambiente;2;B;4;
44;Discipline dell'Architettura e dell' Ingegneria;1;C;4;
45;Cultura Scientifica, Umanistica, Giuridica, Economica, Socio-Politica;2;C;4;
39;A Scelta dello Studente;1;D;4;
66;Prova Finale;1;E;4;
67;Lingua Straniera;2;E;4;
2959;Valore Totale se Dato Disaggregato Non Disponibile;3;E;4;
68;Ulteriori Conoscenze Linguistiche;1;F;4;
1920;Abilità Informatiche e Relazionali;2;F;4;
2076;Tirocini;3;F;4;
2232;Altro;4;F;4;
2388;Valore Totale se Dato Disaggregato Non Disponibile;5;F;4;
69;Discipline Linguistiche;1;A;5;
70;Discipline Attinenti alla Letteratura Italiana;2;A;5;
71;Discipline Classiche;1;B;5;
72;Discipline Attinenti alle Lingue e Letterature Europee;2;B;5;
73;Discipline Storiche;3;B;5;
74;Discipline Storico-Archeologiche e Artistiche;1;C;5;
75;Discipline Geografiche;2;C;5;
76;Discipline Informatiche, Storiche, Filosofiche, Psicologiche e Pedagogiche;3;C;5;
77;A Scelta dello Studente;1;D;5;
78;Prova Finale;1;E;5;
79;Lingua Straniera;2;E;5;
2960;Valore Totale se Dato Disaggregato Non Disponibile;3;E;5;
80;Ulteriori Conoscenze Linguistiche;1;F;5;
1921;Abilità Informatiche e Relazionali;2;F;5;
2077;Tirocini;3;F;5;
2233;Altro;4;F;5;
2389;Valore Totale se Dato Disaggregato Non Disponibile;5;F;5;
81;Discipline Sociologiche, Psicologiche, Storiche, Giuridiche ed Economiche;1;A;6;
82;Discipline Sociologiche;1;B;6;
83;Discipline Giuridiche;2;B;6;
84;Discipline Psicologiche;3;B;6;
85;Lingue e Civilta;4;B;6;
86;Discipline Economiche e Storiche;5;B;6;
87;Formazione Interdisciplinare;1;C;6;
88;A Scelta dello Studente;1;D;6;
89;Prova Finale;1;E;6;
90;Lingua Straniera;2;E;6;
2961;Valore Totale se Dato Disaggregato Non Disponibile;3;E;6;
91;Ulteriori Conoscenze Linguistiche;1;F;6;
1922;Abilità Informatiche e Relazionali;2;F;6;
2078;Tirocini;3;F;6;
2234;Altro;4;F;6;
2390;Valore Totale se Dato Disaggregato Non Disponibile;5;F;6;
3113;Discipline Sociologiche;1;T;6;
2556;Discipline Giuridiche;2;T;6;
2557;Discipline Psicologiche;3;T;6;
2558;Lingue e Civilta;4;T;6;
2559;Discipline Economiche e Storiche;5;T;6;
92;Matematica, Informatica Statistica e Demografia;1;A;7;
93;Ecologia, Geografia e Geologia;2;A;7;
94;Rappresentazione;3;A;7;
95;Architettura e Ingegneria;1;B;7;
96;Diritto, Economia e Sociologia;2;B;7;
97;Cultura Umanistica;1;C;7;
98;Cultura Architettonica, Ingegneristica e dell'Ambiente;2;C;7;
99;A Scelta dello Studente;1;D;7;
100;Prova Finale;1;E;7;
101;Lingua Straniera;2;E;7;
2962;Valore Totale se Dato Disaggregato Non Disponibile;3;E;7;
102;Ulteriori Conoscenze Linguistiche;1;F;7;
1923;Abilità Informatiche e Relazionali;2;F;7;
2079;Tirocini;3;F;7;
2235;Altro;4;F;7;
2391;Valore Totale se Dato Disaggregato Non Disponibile;5;F;7;
103;Matematica, Informatica e Statistica;1;A;8;
104;Fisica e Chimica;2;A;8;
105;Ingegneria Civile;1;B;8;
106;Ingegneria Ambientale e del Territorio;2;B;8;
107;Ingegneria Gestionale;3;B;8;
108;Discipline Ingegneristiche;1;C;8;
109;Cultura Scientifica, Umanistica, Giuridica, Economica, Socio-Politica;2;C;8;
110;A Scelta dello Studente;1;D;8;
111;Prova Finale;1;E;8;
112;Lingua Straniera;2;E;8;
2963;Valore Totale se Dato Disaggregato Non Disponibile;3;E;8;
113;Ulteriori Conoscenze Linguistiche;1;F;8;
1924;Abilità Informatiche e Relazionali;2;F;8;
2080;Tirocini;3;F;8;
2236;Altro;4;F;8;
