COD_ATENEO_ESTERO;NOME_ATENEO_ESTERO;ID_NAZIONE;
AS1426;American University in Dubai;AE;
AS1518;Polytechnic University of Tirana;AL;
AS1525;Universiteti Bujqësor i Tiranës;AL;
AS518;Universiteti Marin Barleti ;AL;
AS493;Instituto Tecnologico;AR;
AS1575;Instituto Universitario Italiano de Rosario;AR;
AS913;Universidad Abierta Interamericana ;AR;
AS1464;Universidad Argentina de la Empresa ;AR;
AS961;Universidad Catolica de Cordoba;AR;
AS1184;Universidad Catolica de La Plata;AR;
AS962;Universidad Nacional de Cordoba;AR;
AS526;Universidad Nacional de Cuyo;AR;
AS1799;Universidad Nacional de Lomas de Zamora (UNLZ) Buenos Aires;AR;
AS1185;Universidad Nacional de Quilmes;AR;
AS1580;Universidad Nacional de Rosario;AR;
AS1225;Universidad Nacional de San Martín (UNSAM);AR;
AS370;Universidad Nacional de Tres de Febrero;AR;
AS1879;Universidad Nacional de Tucumàn;AR;
AS535;Universidad Nacional del Litoral (UNL);AR;
AS1413;Universidad Nacional del Sur;AR;
AS1468;Universidad Torcuato di Tella;AR;
AS393;Universidad de Belgrano;AR;
AS1485;Universidad de Buenos Aires;AR;
AS1071;Universidad de Ciencias Empresariales y Sociales;AR;
AS1795;Universidad de Flores;AR;
AS1467;Universidad de San Andrés;AR;
AS1541;Universidad del Centro Educativo Latino Americano;AR;
AS294;Alpen-Adria Universität;AT;
AS1557;Carinthia University of Applied Sciences;AT;
AS1558;Carinthia University of Applied Sciences;AT;
AS923;Danube University Krems ;AT;
AS1497;FH Campus Wien;AT;
AS514;FH JOANNEUM - University of Applied Sciences;AT;
AS967;FH Wien - Institute for Tourism Management;AT;
AS1673;FHS Kufstein Tirol University of Applied Sciences;AT;
AS847;Fachhochschule Karnten ;AT;
AS732;Fachhochschule St. Polten;AT;
AS965;IMC University of Applied Sciences Krems;AT;
AS1220;Johannes Kepler Universität (JKU);AT;
AS966;KPH Wien ;AT;
AS352;Karl-Franzens Universität;AT;
AS254;Leopold Franzens Universität;AT;
AS624;Management Center Innsbruck - MCI;AT;
AS1221;Medizinische Universität Graz;AT;
AS770;Mediziniske Universitat Wien;AT;
AS1602;MöntanUniversität;AT;
AS964;Padagogische Hochschule Karnten;AT;
AS963;Padagogische Hochschule Steiermark;AT;
AS969;Padagogische Hochschule Wien;AT;
AS334;Paracelsus Medinzinische;AT;
AS215;Paris Lodron Universität;AT;
AS1718;Pädagogische Hochschule Niederösterreich;AT;
AS1498;Pädagogische Hochschule Tirol;AT;
AS1612;Sigmund Freud Privat Universitat;AT;
AS499;Technische Universität Wien;AT;
AS1688;UNIVERSITY OF APPLIED SCIENCES UPPER AUSTRIA;AT;
AS1689;UNIVERSITY OF APPLIED SCIENCES UPPER AUSTRIA;AT;
AS894;Universitat Salzburg;AT;
AS1680;University of Graz;AT;
AS1618;University of Veterinary Medicine;AT;
AS420;University of applied sciences BFI;AT;
AS1777;Universität Innsbruck;AT;
AS350;Universität Wien;AT;
AS256;Universität für Bodenkultur;AT;
AS1438;Upper Austria University of applied sciences;AT;
AS1313;WU - Wirtschaftsuniversität Wien;AT;
AS1428;Australian National University;AU;
AS1073;Griffith University;AU;
AS652;La Trobe University;AU;
AS1292;Monash University;AU;
AS1357;Monash University;AU;
AS1348;Queensland University of  Technology;AU;
AS1295;Queensland University of Technology;AU;
AS1188;Queensland University of Technology (QUT);AU;
AS1811;RMIT University;AU;
AS1332;University of Adelaide;AU;
AS1326;University of Melbourne;AU;
AS1644;University of Melbourne;AU;
AS1324;University of New South Wales;AU;
AS1486;University of Queensland;AU;
AS1321;University of Sydney;AU;
AS1423;University of Tasmania;AU;
AS1074;University of Technology;AU;
AS1319;University of Western Australia;AU;
AS1072;University of the Sunshine Coast;AU;
AS1867;Qafqaz University;AZ;
AS1868;Qafqaz University;AZ;
AS1111; Haute Ecole Paul - Henri Spaak;BE;
AS1052;Artesis Hogeschool Antwerpe;BE;
AS1141;Artevelde hogeschool Gent;BE;
AS930;Ecole Superieure des Arts Saint Luc de Bruxelles ;BE;
AS542;Ecole Superieure des Arts Saint-Luc;BE;
AS971;Erasmus Hogeschool Brussels;BE;
AS540;Facultés Universitaires Saint-Louis;BE;
AS1424;Facultés universitaires Notre-Dame de la Paix;BE;
AS989;HAUTE ECOLE DE NAMUR-LIEGE;BE;
AS973;Haute Ecole Charlemagne;BE;
AS869;Haute Ecole de la Province de Liège;BE;
AS702;Haute ecole Provinciale de Hainaut-Condorcet;BE;
AS972;Hogeschool Gent;BE;
AS703;Howest University College West Flanders;BE;
AS541;ICHEC Brussel Management School;BE;
AS1110;IMEC: Interuniversity MicroElectronics Center;BE;
AS1652;INTERNATIONAL JUVENILE JUSTICE OBSERVATORY ;BE;
AS920;Institut Superieur d’Architecture Saint-Luc de Bruxelles;BE;
AS1605;Katholieke Hogeschool Brugge-Oostende;BE;
AS339;Katholieke Universiteit Leuven;BE;
AS814;Katolieke Hogeschool Mechelen;BE;
AS1855;Ku Leuven Faculty of Kinesiology and Rehabilitation Science;BE;
AS827;Lessius Hogeschool - Antwerpen ;BE;
AS970;Plantijn Hogeschool;BE;
AS946;Provinciale Hogeschool Limburg;BE;
AS1086;Transnationale Universiteit Limburg;BE;
AS675;Universiteit Antwerpen;BE;
AS701;Universiteit Gent;BE;
AS1660;University College West Flanders;BE;
AS885;University of Namur;BE;
AS925;Universitè Catholique de Louvain ;BE;
AS1469;Université Catholique de Louvain à Mons - UCL Mons;BE;
AS415;Université catholique de Louvain;BE;
AS379;Université de Liège;BE;
AS474;Université libre de Bruxelles;BE;
AS494;Université de Mons (Umons);BE;
AS1063;Vrije Universitet Bruxelles;BE;
AS1736;"Angel Kanchev" University of Ruse;BG;
AS1017;AMERICAN UNIVERSITY IN BULGARIA;BG;
AS1848;Balgarska Akademia Na Naukite;BG;
AS1856;Bulgarian Academy of Sciences;BG;
AS734;D. Tsenov Academy of Economics;BG;
