ID_CLASSE;CODICE_CLASSE;DESCRIZIONE;TIPO_LAUREA;CODICE_AREA;DESCRIZIONE_AREA;
1;1;Biotecnologie;LT;2;Area Scientifica;
2;2;Scienze dei servizi giuridici;LT;3;Area Sociale;
3;3;Scienze della mediazione linguistica;LT;4;Area Umanistica;
4;4;Scienze dell'architettura e dell'ingegneria edile;LT;2;Area Scientifica;
5;5;Lettere;LT;4;Area Umanistica;
6;6;Scienze del servizio sociale;LT;3;Area Sociale;
7;7;Urbanistica e scienze della pianificazione territoriale e ambientale;LT;2;Area Scientifica;
8;8;Ingegneria civile e ambientale;LT;2;Area Scientifica;
9;9;Ingegneria dell'informazione;LT;2;Area Scientifica;
10;10;Ingegneria industriale;LT;2;Area Scientifica;
11;11;Lingue e culture moderne;LT;4;Area Umanistica;
12;12;Scienze biologiche;LT;2;Area Scientifica;
13;13;Scienze dei beni culturali;LT;4;Area Umanistica;
14;14;Scienze della comunicazione;LT;3;Area Sociale;
15;15;Scienze politiche e delle relazioni internazionali;LT;3;Area Sociale;
16;16;Scienze della Terra;LT;2;Area Scientifica;
17;17;Scienze dell'economia e della gestione aziendale;LT;3;Area Sociale;
18;18;Scienze dell'educazione e della formazione;LT;4;Area Umanistica;
19;19;Scienze dell'amministrazione;LT;3;Area Sociale;
20;20;Scienze e tecnologie agrarie, agroalimentari e forestali;LT;2;Area Scientifica;
21;21;Scienze e tecnologie chimiche;LT;2;Area Scientifica;
22;22;Scienze e tecnologie della navigazione marittima e aerea;LT;2;Area Scientifica;
23;23;Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda;LT;4;Area Umanistica;
24;24;Scienze e tecnologie farmaceutiche;LT;1;Area Sanitaria;
25;25;Scienze e tecnologie fisiche;LT;2;Area Scientifica;
26;26;Scienze e tecnologie informatiche;LT;2;Area Scientifica;
27;27;Scienze e tecnologie per l'ambiente e la natura;LT;2;Area Scientifica;
28;28;Scienze economiche;LT;3;Area Sociale;
29;29;Filosofia;LT;4;Area Umanistica;
30;30;Scienze geografiche;LT;4;Area Umanistica;
31;31;Scienze giuridiche;LT;3;Area Sociale;
32;32;Scienze matematiche;LT;2;Area Scientifica;
33;33;Scienze delle attivita motorie e sportive;LT;2;Area Scientifica;
34;34;Scienze e tecniche psicologiche;LT;3;Area Sociale;
35;35;Scienze sociali per la cooperazione, lo sviluppo e la pace;LT;3;Area Sociale;
36;36;Scienze sociologiche;LT;3;Area Sociale;
37;37;Scienze statistiche;LT;2;Area Scientifica;
38;38;Scienze storiche;LT;4;Area Umanistica;
39;39;Scienze del turismo;LT;3;Area Sociale;
40;40;Scienze e tecnologie zootecniche e delle produzioni animali;LT;2;Area Scientifica;
41;41;Tecnologie per la conservazione e il restauro dei beni culturali;LT;2;Area Scientifica;
42;42;Disegno industriale;LT;2;Area Scientifica;
43;SNT/1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;LT;1;Area Sanitaria;
44;SNT/2;Professioni sanitarie della riabilitazione;LT;1;Area Sanitaria;
45;SNT/3;Professioni sanitarie tecniche;LT;1;Area Sanitaria;
46;SNT/4;Professioni sanitarie della prevenzione;LT;1;Area Sanitaria;
47;DS/1;Scienze della difesa e della sicurezza;LT;3;Area Sociale;
1001;1/S;Specialistiche in antropologia culturale ed etnologia;LS;4;Area Umanistica;
1002;2/S;Specialistiche in archeologia;LS;4;Area Umanistica;
1003;3/S;Specialistiche in architettura del paesaggio;LS;2;Area Scientifica;
1004;4/S;Specialistiche in architettura e ingegneria edile;TU;2;Area Scientifica;
1005;5/S;Specialistiche in archivistica e biblioteconomia;LS;4;Area Umanistica;
1006;6/S;Specialistiche in biologia;LS;2;Area Scientifica;
1007;7/S;Specialistiche in biotecnologie agrarie;LS;2;Area Scientifica;
1008;8/S;Specialistiche in biotecnologie industriali;LS;2;Area Scientifica;
1009;9/S;Specialistiche in biotecnologie mediche, veterinarie e farmaceutiche;LS;2;Area Scientifica;
1010;10/S;Specialistiche in conservazione dei beni architettonici e ambientali;LS;4;Area Umanistica;
1011;11/S;Specialistiche in conservazione dei beni scientifici e della civilta industriale;LS;4;Area Umanistica;
1012;12/S;Specialistiche in conservazione e restauro del patrimonio storico-artistico;LS;4;Area Umanistica;
1013;13/S;Specialistiche in editoria, comunicazione multimediale e giornalismo;LS;4;Area Umanistica;
1014;14/S;Specialistiche in farmacia e farmacia industriale;TU;1;Area Sanitaria;
1015;15/S;Specialistiche in filologia e letterature dell'antichita;LS;4;Area Umanistica;
1016;16/S;Specialistiche in filologia moderna;LS;4;Area Umanistica;
1017;17/S;Specialistiche in filosofia e storia della scienza;LS;4;Area Umanistica;
1018;18/S;Specialistiche in filosofia teoretica, morale, politica ed estetica;LS;4;Area Umanistica;
1019;19/S;Specialistiche in finanza;LS;3;Area Sociale;
1020;20/S;Specialistiche in fisica;LS;2;Area Scientifica;
1021;21/S;Specialistiche in geografia;LS;4;Area Umanistica;
1022;22/S;Specialistiche in giurisprudenza;LS;3;Area Sociale;
1023;23/S;Specialistiche in informatica;LS;2;Area Scientifica;
1024;24/S;Specialistiche in informatica per le discipline umanistiche;LS;2;Area Scientifica;
1025;25/S;Specialistiche in ingegneria aerospaziale e astronautica;LS;2;Area Scientifica;
1026;26/S;Specialistiche in ingegneria biomedica;LS;2;Area Scientifica;
1027;27/S;Specialistiche in ingegneria chimica;LS;2;Area Scientifica;
1028;28/S;Specialistiche in ingegneria civile;LS;2;Area Scientifica;
1029;29/S;Specialistiche in ingegneria dell'automazione;LS;2;Area Scientifica;
1030;30/S;Specialistiche in ingegneria delle telecomunicazioni;LS;2;Area Scientifica;
1031;31/S;Specialistiche in ingegneria elettrica;LS;2;Area Scientifica;
1032;32/S;Specialistiche in ingegneria elettronica;LS;2;Area Scientifica;
1033;33/S;Specialistiche in ingegneria energetica e nucleare;LS;2;Area Scientifica;
1034;34/S;Specialistiche in ingegneria gestionale;LS;2;Area Scientifica;
1035;35/S;Specialistiche in ingegneria informatica;LS;2;Area Scientifica;
1036;36/S;Specialistiche in ingegneria meccanica;LS;2;Area Scientifica;
1037;37/S;Specialistiche in ingegneria navale;LS;2;Area Scientifica;
1038;38/S;Specialistiche in ingegneria per l'ambiente e il territorio;LS;2;Area Scientifica;
1039;39/S;Specialistiche in interpretariato di conferenza;LS;4;Area Umanistica;
1040;40/S;Specialistiche in lingua e cultura italiana;LS;4;Area Umanistica;
1041;41/S;Specialistiche in lingue e letterature afroasiatiche;LS;4;Area Umanistica;
1042;42/S;Specialistiche in lingue e letterature moderne euroamericane;LS;4;Area Umanistica;
1043;43/S;Specialistiche in lingue straniere per la comunicazione internazionale;LS;4;Area Umanistica;
1044;44/S;Specialistiche in linguistica;LS;4;Area Umanistica;
1045;45/S;Specialistiche in matematica;LS;2;Area Scientifica;
1046;46/S;Specialistiche in medicina e chirurgia;TU;1;Area Sanitaria;
1047;47/S;Specialistiche in medicina veterinaria;TU;1;Area Sanitaria;
1048;48/S;Specialistiche in metodi per l'analisi valutativa dei sistemi complessi;LS;3;Area Sociale;
1049;49/S;Specialistiche in metodi per la ricerca empirica nelle scienze sociali;LS;3;Area Sociale;
1050;50/S;Specialistiche in modellistica matematico-fisica per l'ingegneria;LS;2;Area Scientifica;
1051;51/S;Specialistiche in musicologia e beni musicali;LS;4;Area Umanistica;
1052;52/S;Specialistiche in odontoiatria e protesi dentaria;TU;1;Area Sanitaria;
1053;53/S;Specialistiche in organizzazione e gestione dei servizi per lo sport e le attivita motorie;LS;2;Area Scientifica;
1054;54/S;Specialistiche in pianificazione territoriale urbanistica e ambientale;LS;2;Area Scientifica;
1055;55/S;Specialistiche in progettazione e gestione dei sistemi turistici;LS;3;Area Sociale;
1056;56/S;Specialistiche in programmazione e gestione dei servizi educativi e formativi;LS;3;Area Sociale;
1057;57/S;Specialistiche in programmazione e gestione delle politiche e dei servizi sociali;LS;3;Area Sociale;
1058;58/S;Specialistiche in psicologia;LS;3;Area Sociale;
1059;59/S;Specialistiche in pubblicita e comunicazione d'impresa;LS;3;Area Sociale;
1060;60/S;Specialistiche in relazioni internazionali;LS;3;Area Sociale;
1061;61/S;Specialistiche in scienza e ingegneria dei materiali;LS;2;Area Scientifica;
1062;62/S;Specialistiche in scienze chimiche;LS;2;Area Scientifica;
1063;63/S;Specialistiche in scienze cognitive;LS;4;Area Umanistica;
1064;64/S;Specialistiche in scienze dell'economia;LS;3;Area Sociale;
1065;65/S;Specialistiche in scienze dell'educazione degli adulti e della formazione continua;LS;3;Area Sociale;
1066;66/S;Specialistiche in scienze dell'universo;LS;2;Area Scientifica;
1067;67/S;Specialistiche in scienze della comunicazione sociale e istituzionale;LS;3;Area Sociale;
1068;68/S;Specialistiche in scienze della natura;LS;2;Area Scientifica;
1069;69/S;Specialistiche in scienze della nutrizione umana;LS;2;Area Scientifica;
1070;70/S;Specialistiche in scienze della politica;LS;3;Area Sociale;
1071;71/S;Specialistiche in scienze delle pubbliche amministrazioni;LS;3;Area Sociale;
1072;72/S;Specialistiche in scienze delle religioni;LS;4;Area Umanistica;
1073;73/S;Specialistiche in scienze dello spettacolo e della produzione multimediale;LS;3;Area Sociale;
1074;74/S;Specialistiche in scienze e gestione delle risorse rurali e forestali;LS;2;Area Scientifica;
