COD_ISTAT;COMUNE;SIGLA;PROVINCIA;ID_COMUNE_STATO;COMUNE_POSTE;CODICE_CATASTALE;COD_ISTAT_REGIONE;REGIONE;
999997;SAN MARINO;97;SAN MARINO;0;SAN MARINO;Z130;97;SAN MARINO;
999998;COMUNE ESTERO;98;PROVINCIA ESTERA;0;COMUNE ESTERO;9998;98;REGIONE ESTERA;
999999;COMUNE NON FORNITO;99;PROVINCIA NON DEFINITA;0;COMUNE NON FORNITO;;99;REGIONE NON DEFINITA;
084001;AGRIGENTO;AG;AGRIGENTO;0;AGRIGENTO;A089;19;SICILIA;
084002;ALESSANDRIA DELLA ROCCA;AG;AGRIGENTO;0;ALESSANDRIA DELLA ROCCA;A181;19;SICILIA;
084003;ARAGONA;AG;AGRIGENTO;0;ARAGONA;A351;19;SICILIA;
084004;BIVONA;AG;AGRIGENTO;0;BIVONA;A896;19;SICILIA;
084005;BURGIO;AG;AGRIGENTO;0;BURGIO;B275;19;SICILIA;
084006;CALAMONACI;AG;AGRIGENTO;0;CALAMONACI;B377;19;SICILIA;
084007;CALTABELLOTTA;AG;AGRIGENTO;0;CALTABELLOTTA;B427;19;SICILIA;
084008;CAMASTRA;AG;AGRIGENTO;0;CAMASTRA;B460;19;SICILIA;
084009;CAMMARATA;AG;AGRIGENTO;0;CAMMARATA;B486;19;SICILIA;
084010;CAMPOBELLO DI LICATA;AG;AGRIGENTO;0;CAMPOBELLO DI LICATA;B520;19;SICILIA;
084011;CANICATTI';AG;AGRIGENTO;0;CANICATTI';B602;19;SICILIA;
084012;CASTELTERMINI;AG;AGRIGENTO;0;CASTELTERMINI;C275;19;SICILIA;
084013;CASTROFILIPPO;AG;AGRIGENTO;0;CASTROFILIPPO;C341;19;SICILIA;
084014;CATTOLICA ERACLEA;AG;AGRIGENTO;0;CATTOLICA ERACLEA;C356;19;SICILIA;
084015;CIANCIANA;AG;AGRIGENTO;0;CIANCIANA;C668;19;SICILIA;
084016;COMITINI;AG;AGRIGENTO;0;COMITINI;C928;19;SICILIA;
084017;FAVARA;AG;AGRIGENTO;0;FAVARA;D514;19;SICILIA;
084018;GROTTE;AG;AGRIGENTO;0;GROTTE;E209;19;SICILIA;
084019;JOPPOLO GIANCAXIO;AG;AGRIGENTO;0;JOPPOLO GIANCAXIO;E390;19;SICILIA;
084020;LAMPEDUSA E LINOSA;AG;AGRIGENTO;0;LAMPEDUSA E LINOSA;E431;19;SICILIA;
084021;LICATA;AG;AGRIGENTO;0;LICATA;E573;19;SICILIA;
084022;LUCCA SICULA;AG;AGRIGENTO;0;LUCCA SICULA;E714;19;SICILIA;
084023;MENFI;AG;AGRIGENTO;0;MENFI;F126;19;SICILIA;
084024;MONTALLEGRO;AG;AGRIGENTO;0;MONTALLEGRO;F414;19;SICILIA;
084025;MONTEVAGO;AG;AGRIGENTO;0;MONTEVAGO;F655;19;SICILIA;
084026;NARO;AG;AGRIGENTO;0;NARO;F845;19;SICILIA;
084027;PALMA DI MONTECHIARO;AG;AGRIGENTO;0;PALMA DI MONTECHIARO;G282;19;SICILIA;
084028;PORTO EMPEDOCLE;AG;AGRIGENTO;0;PORTO EMPEDOCLE;F299;19;SICILIA;
084029;RACALMUTO;AG;AGRIGENTO;0;RACALMUTO;H148;19;SICILIA;
084030;RAFFADALI;AG;AGRIGENTO;0;RAFFADALI;H159;19;SICILIA;
084031;RAVANUSA;AG;AGRIGENTO;0;RAVANUSA;H194;19;SICILIA;
084032;REALMONTE;AG;AGRIGENTO;0;REALMONTE;H205;19;SICILIA;
084033;RIBERA;AG;AGRIGENTO;0;RIBERA;H269;19;SICILIA;
084034;SAMBUCA DI SICILIA;AG;AGRIGENTO;0;SAMBUCA DI SICILIA;H743;19;SICILIA;
084035;SAN BIAGIO PLATANI;AG;AGRIGENTO;0;SAN BIAGIO PLATANI;H778;19;SICILIA;
084036;SAN GIOVANNI GEMINI;AG;AGRIGENTO;0;SAN GIOVANNI GEMINI;H914;19;SICILIA;
084039;SANT'ANGELO MUXARO;AG;AGRIGENTO;0;SANT'ANGELO MUXARO;I290;19;SICILIA;
084037;SANTA ELISABETTA;AG;AGRIGENTO;0;SANTA ELISABETTA;I185;19;SICILIA;
084038;SANTA MARGHERITA DI BELICE;AG;AGRIGENTO;0;SANTA MARGHERITA DI BELICE;I224;19;SICILIA;
084040;SANTO STEFANO QUISQUINA;AG;AGRIGENTO;0;SANTO STEFANO QUISQUINA;I356;19;SICILIA;
084041;SCIACCA;AG;AGRIGENTO;0;SCIACCA;I533;19;SICILIA;
084042;SICULIANA;AG;AGRIGENTO;0;SICULIANA;I723;19;SICILIA;
084043;VILLAFRANCA SICULA;AG;AGRIGENTO;0;VILLAFRANCA SICULA;L944;19;SICILIA;
006001;ACQUI TERME;AL;ALESSANDRIA;0;ACQUI TERME;A052;01;PIEMONTE;
006002;ALBERA LIGURE;AL;ALESSANDRIA;0;ALBERA LIGURE;A146;01;PIEMONTE;
006003;ALESSANDRIA;AL;ALESSANDRIA;0;ALESSANDRIA;A182;01;PIEMONTE;
006004;ALFIANO NATTA;AL;ALESSANDRIA;0;ALFIANO NATTA;A189;01;PIEMONTE;
006005;ALICE BEL COLLE;AL;ALESSANDRIA;0;ALICE BEL COLLE;A197;01;PIEMONTE;
006006;ALLUVIONI CAMBIO';AL;ALESSANDRIA;0;ALLUVIONI CAMBIO';A211;01;PIEMONTE;
006007;ALTAVILLA MONFERRATO;AL;ALESSANDRIA;0;ALTAVILLA MONFERRATO;A227;01;PIEMONTE;
006008;ALZANO SCRIVIA;AL;ALESSANDRIA;0;ALZANO SCRIVIA;A245;01;PIEMONTE;
006009;ARQUATA SCRIVIA;AL;ALESSANDRIA;0;ARQUATA SCRIVIA;A436;01;PIEMONTE;
006010;AVOLASCA;AL;ALESSANDRIA;0;AVOLASCA;A523;01;PIEMONTE;
006011;BALZOLA;AL;ALESSANDRIA;0;BALZOLA;A605;01;PIEMONTE;
006012;BASALUZZO;AL;ALESSANDRIA;0;BASALUZZO;A689;01;PIEMONTE;
006013;BASSIGNANA;AL;ALESSANDRIA;0;BASSIGNANA;A708;01;PIEMONTE;
006014;BELFORTE MONFERRATO;AL;ALESSANDRIA;0;BELFORTE MONFERRATO;A738;01;PIEMONTE;
006015;BERGAMASCO;AL;ALESSANDRIA;0;BERGAMASCO;A793;01;PIEMONTE;
006016;BERZANO DI TORTONA;AL;ALESSANDRIA;0;BERZANO DI TORTONA;A813;01;PIEMONTE;
006017;BISTAGNO;AL;ALESSANDRIA;0;BISTAGNO;A889;01;PIEMONTE;
006018;BORGHETTO DI BORBERA;AL;ALESSANDRIA;0;BORGHETTO DI BORBERA;A998;01;PIEMONTE;
006020;BORGO SAN MARTINO;AL;ALESSANDRIA;0;BORGO SAN MARTINO;B037;01;PIEMONTE;
006019;BORGORATTO ALESSANDRINO;AL;ALESSANDRIA;0;BORGORATTO ALESSANDRINO;B029;01;PIEMONTE;
006021;BOSCO MARENGO;AL;ALESSANDRIA;0;BOSCO MARENGO;B071;01;PIEMONTE;
006022;BOSIO;AL;ALESSANDRIA;0;BOSIO;B080;01;PIEMONTE;
006023;BOZZOLE;AL;ALESSANDRIA;0;BOZZOLE;B109;01;PIEMONTE;
006024;BRIGNANO-FRASCATA;AL;ALESSANDRIA;0;BRIGNANO FRASCATA;B179;01;PIEMONTE;
006025;CABELLA LIGURE;AL;ALESSANDRIA;0;CABELLA LIGURE;B311;01;PIEMONTE;
006026;CAMAGNA MONFERRATO;AL;ALESSANDRIA;0;CAMAGNA MONFERRATO;B453;01;PIEMONTE;
006027;CAMINO;AL;ALESSANDRIA;0;CAMINO;B482;01;PIEMONTE;
006028;CANTALUPO LIGURE;AL;ALESSANDRIA;0;CANTALUPO LIGURE;B629;01;PIEMONTE;
