CODE_UN;CODICIONE;DENOMINAZIONE;TIPO_TITOLO;ID_CLASSE;COD_FACOLTA;ANNO_MIN_OFF;ANNO_MAX_OFF;SEDI;ID_STRUTTURA;ATENEI_PARTNER;
01;0420104016800001;Servizio Sociale;LT;6;26;2001;2001;042002;;;
01;0420104000800001;Ingegneria Civile;LT;8;06;2001;2008;042002;;;
01;0420104001000003;Ingegneria Informatica e della Automazione;LT;9;06;2001;2008;042002 - 109006;;;
01;0420104000500003;Ingegneria Logistica e della Produzione;LT;10;06;2001;2008;042002 - 109006;;;
01;0420104000500004;Ingegneria Meccanica;LT;10;06;2001;2008;042002;;;
01;0420104005500001;Scienze Biologiche;LT;12;01;2001;2008;042002;;;
01;0420104006300003;Scienze e Tecnologie Agroalimentari;LT;20;08;2001;2003;042002;;;
02;0720104023000003;Biotecnologie Sanitarie e Farmaceutiche;LT;1;49;2001;2007;072006;;;
02;0720104010200002;Lingue e Letterature Straniere;LT;11;19;2001;2007;072006;;;
02;0720104005500002;Biologia Cellulare e Molecolare;LT;12;01;2001;2007;072006;;;
02;0720104005400001;Scienze Geologiche;LT;16;01;2001;2007;072006;;;
02;0720104015400002;Economia Aziendale - Sede di Brindisi;LT;17;26;2001;2008;074001;;;
02;0720104015400005;Economia Aziendale - Sede di Taranto;LT;17;26;2001;2008;073027;;;
02;0720104010400001;Scienze dell'Educazione e della Formazione;LT;18;27;2001;2007;072006;;;
02;0720104006300003;Tecnologie Fitosanitarie;LT;20;08;2001;2007;072006;;;
02;0720104005500006;Tutela e Manutenzione del Territorio di Interesse Forestale;LT;20;08;2001;2001;072006;;;
02;0720104005300001;Chimica;LT;21;01;2001;2007;072006;;;
02;0720104017700006;Tossicologia del Farmaco, degli Alimenti e dei Prodotti Cosmetici;LT;24;04;2001;2001;072006;;;
02;0720104005100004;Informatica e Sistemi di Elaborazione;LT;26;01;2001;2001;072006;;;
02;0720104015300002;Economia e Commercio - Sede di Taranto;LT;28;26;2001;2008;073027;;;
02;0720104015000001;Scienze Giuridiche;LT;31;16;2001;2007;072006;;;
02;0720104050400002;Infermiere;LT;43;05;2001;2001;072006;;;
02;0720104050600007;Tecnico Audiometrista;LT;45;05;2001;2001;072006;;;
02;0720104050600008;Tecnico Audioprotesista;LT;45;05;2001;2001;072006;;;
03;0370104023000001;Biotecnologie;LT;1;01;2001;2007;037006;;;
03;0370104015100001;Consulente del Lavoro;LT;2;16;2001;2007;037006;;;
03;0370104016800001;Servizio Sociale;LT;6;15;2001;2007;037006;;;
03;0370104015400005;Economia del Turismo;LT;17;26;2001;2007;099014;;;
03;0370104015400002;Economia e Gestione Aziendale;LT;17;26;2001;2007;040012;;;
03;0370104009300003;Arte dell'Interpretazione e dell'Esecuzione Strumentale (Aries);LT;23;17;2001;2001;037006;;;
03;0370104015300001;Economia delle Imprese Cooperative e delle Organizzazioni Non Profit (Teledidattico);LT;28;26;2001;2005;037006;;;
03;0370104026500001;Sviluppo e Cooperazione Internazionale;LT;35;15;2001;2007;037006;;;
03;0370104017200001;Operatore della Sicurezza e del Controllo Sociale;LT;36;15;2001;2003;040012;;;
03;0370104015900001;Statistica, Popolazione, Ambiente;LT;37;35;2001;2003;037006;;;
03;0370104006000002;Acquacoltura e Ittiopatologia;LT;40;09;2001;2007;040007 - 040008;;;
03;0370104050400003;Ostetrico/A;LT;43;05;2001;2001;037006;;;
03;0370104050500002;Ortottista-Assistente in Oftalmologia;LT;44;05;2001;2001;037006;;;
03;0370104050600007;Tecnico Audioprotesista;LT;45;05;2001;2001;037006;;;
03;0370104050600005;Tecnico di Neurofisiopatologia;LT;45;05;2001;2001;037006;;;
03;0370104040300002;Ingegneria Edile-Architettura;TU;1004;06;2001;2007;037006;;;
04;0920104015100002;Servizi Giuridici;LT;2;16;2001;2007;092009;;;
04;0920104000500003;Ingegneria Meccanica;LT;10;06;2001;2007;092009;;;
04;0920104008700002;Beni Storico-Artistici;LT;13;17;2001;2002;092009;;;
04;0920104017700003;Tossicologia dell'Ambiente, del Farmaco e degli Alimenti;LT;24;04;2001;2007;092009;;;
04;0920104009600002;Discipline Etno-Antropologiche;LT;29;17;2001;2002;092009;;;
05;0780104009800001;Lettere;LT;5;17;2001;2007;078102;;;
05;0780104001000001;Ingegneria Elettronica;LT;9;06;2001;2007;078102;;;
05;0780104001000002;Ingegneria Gestionale;LT;9;06;2001;2007;078102 - 101010;;;
05;0780104005500001;Scienze Biologiche;LT;12;01;2001;2008;078102;;;
05;0780104005200002;Fisica;LT;25;01;2001;2008;078102;;;
05;0780104005000001;Matematica;LT;32;01;2001;2008;078102;;;
06;0430204005200001;Fisica;LT;25;69;2001;2009;043007;;;
06;0430204005000002;Matematica per le Applicazioni Gestionali e Tecnologiche;LT;32;01;2001;2002;043007 - 044007;;;
06;0430204041300002;Chimica e Tecnologia Farmaceutiche;TU;1014;04;2001;2008;043007;;;
07;0600104000800001;Ingegneria Civile;LT;8;06;2001;2007;060019;;;
07;0600104010400001;Scienze dell'Educazione;LT;18;17;2001;2008;060019;;;
07;0600104009600001;Filosofia;LT;29;17;2001;2008;060019;;;
08;0870104015100003;Consulente Giuridico del Lavoro;LT;2;16;2001;2002;087015;;;
08;0870104009800002;Lingua e Cultura Italiana per Stranieri;LT;5;17;2001;2005;087015;;02 - 07 - 10 - 11 - 15 - 19 - 21 - 22 - 24 - 26 - 27 - 28 - 31 - 36 - 42 - 58 - 62 - 97 - 99 - A7 - A8;
08;0870104000500004;Ingegneria Gestionale;LT;10;06;2001;2009;087015;;;
08;0870104009200004;Scienze per la Comunicazione Internazionale;LT;14;19;2001;2009;087015;;;
08;0870104006300001;Scienze e Tecnologie Agrarie;LT;20;08;2001;2009;087015;;;
08;0870104006300005;Scienze e Tecnologie per la Gestione e Tutela del Territorio Rurale;LT;20;08;2001;2002;087015;;;
08;0870104005300004;Chimica Industriale;LT;21;01;2001;2008;087015;;;
08;0870104017700003;Scienze Erboristiche;LT;24;04;2001;2009;087015;;;
09;0380104023000002;Biotecnologie Farmaceutiche;LT;1;04;2001;2002;038008;;;
09;0380104000100001;Conservazione e Restauro dei Beni Architettonici e dei Siti Archeologici;LT;4;07;2001;2001;038008;;;
09;0380104005500003;Biologia Ambientale;LT;12;01;2001;2002;038008;;;
09;0380104005000001;Matematica;LT;32;01;2001;2008;038008;;;
09;0380104005000002;Matematica Applicata;LT;32;01;2001;2002;038008;;;
09;0380104023200001;Scienze Motorie;LT;33;05;2001;2008;038008;;;
10;0480104000800002;Ingegneria per l'Ambiente ed il Territorio;LT;8;06;2001;2005;048017;;;
10;0480104008700003;Operatore dei Beni Culturali;LT;13;17;2001;2007;048017;;;
10;0480104008700002;Storia e Tutela dei Beni Archeologici;LT;13;17;2001;2007;048017;;;
10;0480104016400002;Studi Internazionali;LT;15;15;2001;2007;048017;;;
10;0480104016600002;Scienze di Governo e dell'Amministrazione;LT;19;15;2001;2004;048017;;;
10;0480104005300002;Chimica Applicata;LT;21;01;2001;2007;048017;;;
10;0480104005100001;Informatica;LT;26;01;2001;2007;048017;;;
10;0480104005600001;Scienze Naturali;LT;27;01;2001;2007;048017;;;
11;0100104015100003;Operatore Giuridico d'Impresa;LT;2;16;2001;2008;010025;;;
11;0100104021100003;Traduttori e Interpreti;LT;3;19;2001;2004;010025;;;
11;0100104009800001;Civiltà Classica e Medievale;LT;5;17;2001;2001;010025;;;
11;0100104016800001;Servizio Sociale;LT;6;16;2001;2008;010025;;;
11;0100104000500001;Ingegneria Chimica;LT;10;06;2001;2008;010025;;;
11;0100104000500005;Ingegneria Gestionale;LT;10;06;2001;2008;009056;;;
11;0100104000500003;Ingegneria Meccanica;LT;10;06;2001;2008;010025 - 011015;;;
11;0100104015400001;Economia Aziendale;LT;17;26;2001;2008;008031 - 010025;;;
11;0100104005200001;Fisica;LT;25;01;2001;2008;010025;;;
11;0100104005600002;Gestione e Conservazione dell'Ambiente Marino;LT;27;01;2001;2001;010025;;;
11;0100104005000003;Matematica per la Tecnologia e la Societa';LT;32;01;2001;2001;010025;;;
11;0100104010600001;Storia;LT;38;17;2001;2007;010025;;;
11;0100104039900002;Design Nautico e Navale;LT;42;07;2001;2001;010025;;;
11;0100104041300001;Farmacia;TU;1014;04;2001;2008;010025;;;
12;0750104000500003;Ingegneria Gestionale;LT;10;06;2001;2007;074001 - 075035;;;
12;0750104008700005;Beni Mobili Artistici;LT;13;46;2001;2005;075035;;;
12;0750104015400002;Management Aziendale;LT;17;26;2001;2007;075035;;;
12;0750104010400004;Esperti della Formazione;LT;18;27;2001;2006;073004 - 075035;;;
13;0430104009200001;Comunicazione di Impresa;LT;14;47;2001;2003;043023;;;
13;0430104009200003;Comunicazione Istituzionale;LT;14;47;2001;2003;043023;;;
13;0430104015400001;Economia;LT;17;26;2001;2002;043023;;;
13;0430104016600001;Scienze dell'Amministrazione;LT;19;16;2001;2007;043023;;;
13;0430104009300001;Mestieri della Musica e dello Spettacolo - Management degli Spettacoli Musicali;LT;23;47;2001;2003;042034 - 043023;;;
13;0430104009600001;Filosofia;LT;29;17;2001;2007;043023;;;
14;0830104000500002;Ingegneria delle Tecnologie Industriali;LT;10;06;2001;2004;083048;;;
14;0830104016400002;Studi Politici, Internazionali e Comunitari;LT;15;15;2001;2003;083048;;;
14;0830104005400001;Analisi e Gestione dei Rischi Naturali ed Antropici;LT;16;01;2001;2007;083048;;;
14;0830104009300001;Scienze e Tecnologie delle Arti Figurative, della Musica e dello Spettacolo;LT;23;17;2001;2007;083048;;;
14;0830104015300004;Economia e Diritto;LT;28;26;2001;2007;083048;;;
14;0830104010500001;Scienze del Turismo Culturale;LT;39;17;2001;2001;083048;;;
14;0830104050400001;Infermiere;LT;43;05;2001;2001;083048;;;
14;0830104050600003;Dietista;LT;45;05;2001;2001;083048;;;
14;0830104045100001;Odontoiatria e Protesi Dentaria;TU;1052;05;2001;2008;083048;;;
15;0150104015100008;Scienze dei Servizi Giuridici per Operatori Giudiziari;LT;2;16;2001;2002;015146;;;
