COD_TIPO_DESCR_INT_SUPPORTO;VALORE_DESCR_INT_SUPPORTO;
98;Non beneficiario di interventi;
99;Informazione non ANCORA disponibile;
AL;Altro sussidio (diverso dai precedenti);
CA;Contributo finanziario per alloggio ;
CI;Incentivo classi di interesse nazionale o comunitario (l. 170/03 art. 1 lett. e), non già sotto forma di esonero totale o parziale;
CS;Contributo straordinario;
CT;Contributo finanziario per trasporto;
DI;Attività didattico-integrative, propedeutiche e di recupero (l. 170/03 art. 1 lett. b);
MA;Mobilità internazionale: finanziamento fondi propri di Ateneo;
ME;Mobilità internazionale: finanziamento UE o altre istituzioni;
MG;Mobilità internazionale: finanziamento l. 170/03 art. 1 lett. a;
MN;Mobilità internazionale: altri finanziamenti nazionali;
PA;Assegnatario di posto-alloggio gratuito;
PB;Beneficiario di prestiti da istituti di credito convenzionati (rilascio PIN);
PG;Assegnatario di posto-alloggio a tariffa agevolata;
PI;Assegnatario di posto-alloggio a tariffa intera;
PS;Premio di studio;
PT;Attività part-time (max 200 ore);
PU;Beneficiario di prestito di Ateneo;
TU;Attività di tutorato (l. 170/03 art. 1 lett. b);
