ID_EVENTO;DESCRIZIONE EVENTO;SPEDIZIONE_ASSOCIATA;
IN;Ingresso;1;
AC;Avvio nuova carriera;1;
IS;Avvio nuova carriera con anagrafica;1;
DS;Titoli di scuola media superiore;2;
UN;Titolo di livello universitario o post universitario;2;
DC;Dettaglio Debiti/Crediti;3;
IA;Iscrizione annuale;4;
SO;Sospensione;4;
RI;Ricognizione;4;
PC;Passaggio di corso;4;
PO;Variazione dell'Anno Accademico di Regolamento (passaggio di ordinamento);4;
VC;Variazione del curriculum, dopo aver già effettuato una prima scelta;4;
TU;Trasferimento in uscita;4;
TI;Trasferimento in ingresso;4;
VS;Variazione di sede;4;
VI;Variazione di classe (corsi interclasse);4;
PP;Passaggio di regolamento o Anno validità Offerta Formativa annuale;4;
PA;Posizione amministrativa;5;
DA;Dati anagrafici variabili;5;
CD;Ottenimento CFU o diminuzione debiti;6;
AN;Annullamento CFU o reintroduzione Debiti (a causa dell'annullamento di un esame, ad esempio);6;
CC;Chiusura carriera;7;
