COD_FACOLTA;DENOMINAZIONE;
78;Lettere;
A2;Scienze della Società e della Formazione d'Area Mediterranea;
93;Scienze e Tecnologie 'P.Leonardi Cattolica';
A9;Ingegneria Aereonautica e dello Spazio;
05;Medicina e Chirurgia;
07;Architettura;
13;Scienze Statistiche, Demografiche ed Attuariali;
17;Lettere e Filosofia;
19;Lingue e Letterature Straniere;
23;Conservazione dei Beni Culturali;
24;Psicologia;
35;Scienze Statistiche;
55;Filosofia;
66;Studi Arabo-Islamici e del Mediterraneo;
70;Bioscienze e Biotecnologie;
B3;Ingegneria, Architettura e Scienze Motorie;
B5;Scienze Politiche e Sociali;
84;Architettura e Design Industriale;
86;Scienze Sociali, Politiche e del Territorio;
94;Arti e della Comunicazione;
96;Psicologia e Scienze della Formazione;
02;Scienze Nautiche;
06;Ingegneria;
11;Scienze Economiche e Bancarie;
15;Scienze Politiche;
20;Educazione Fisica;
22;Scienze Bancarie, Finanziarie e Previdenziali;
27;Scienze della Formazione;
28;Lingue e Letterature Straniere Moderne;
61;Scienze Linguistiche e Letterature Straniere;
63;Scienze Economiche e Aziendali;
B6;Arti, Turismo e Mercati;
B2;Scienze Economiche e Giuridiche;
75;Scienze Giuridiche e delle Relazioni Euromediterranee;
76;Psicologia e Scienze Umane;
99;Scienze Gastronomiche;
91;Scienze dell'Economia e della Gestione Aziendale;
92;Scienze Politiche e delle Relazioni Internazionali;
A5;Comunicazione, Relazioni Pubbliche e Pubblicità;
98;Ingegneria dell'Informazione;
08;Agraria;
32;Scienze della Comunicazione e dello Spettacolo;
33;Lingua e Cultura Italiana;
40;Classe di Fisica e Matematica;
45;Altre Strutture;
46;Beni Culturali;
B1;Farmacia e Scienze Nutrizione e Salute;
B9;Scienze dell'Uomo e della Societa';
77;Biotecnologie;
88;Classe di Scienze e Tecnologie;
90;Lingue e Comunicazione;
A3;Scienze e Tecnologie Applicate;
A4;Interpretariato, Traduzione e Studi Linguistici e Culturali;
03;Chimica Industriale;
31;Scuola Speciale Paleografia e Filologia Musicale;
41;Scuola di Ingegneria Aerospaziale;
59;Scienze dell'Educazione Motoria;
85;Scienze Criminologiche;
A6;Turismo, Eventi e Territorio;
A8;Scienze del Farmaco per l'Ambiente e la Salute;
97;Scienze Motorie e del Benessere;
25;Scienze Ambientali;
43;Scienze Motorie;
60;Studi Orientali;
68;Scienze del Benessere;
B7;Scienze Agrarie, Alimentari e Ambientali;
71;Scienze Giuridiche ed Economiche;
73;Economia e Tecnologie dell'Agro-Alimentare;
81;Studi Politici e Alta Formazione Europea e Mediterranea Jean Monnet;
87;Classe di Scienze Umane;
79;Interpretariato e Traduzione;
95;Ingegneria e Architettura;
09;Medicina Veterinaria;
29;Scuola Superiore di Lingue Moderne per Interpreti e Traduttori;
36;Classe di Lettere;
38;Classe di Scienze Sociali;
42;Scuola di Amministrazione Aziendale;
44;Scienze Bancarie Finanziarie e Assicurative;
47;Interfacolta;
50;Scienze e Tecnologie Informatiche;
52;Pianificazione del Territorio;
54;Scienze Manageriali;
62;Ingegneria Astronautica;
64;Scienze della Comunicazione;
65;Architettura Valle Giulia;
C0;Studi Classici, Linguistici e della Formazione;
83;Urbanistica e Scienze della Pianificazione Territoriale ed Ambientale;
A7;Arti, Mercati e Patrimoni della Cultura;
B0;Musicologia;
01;Scienze Matematiche, Fisiche e Naturali;
10;Economia e Commercio;
12;Economia dei Trasporti e del Commercio Internazionale;
16;Giurisprudenza;
26;Economia;
49;Scienze Biotecnologiche;
51;Design e Arti;
53;Scienze della Comunicazione (Comunicazione, Economia, Informazione);
56;Scienze Umanistiche (Lettere e Filosofia - Lingue - Patrimonio Culturale);
58;Scienze Sociali;
67;Scienze Umane e Sociali;
69;Scienze e Tecnologie;
72;Scienze Cognitive;
74;Tecnologie della Pianificazione Territoriale;
A0;Ateneo Non Suddiviso in Facolta;
80;Scienze dei Beni Culturali;
82;Scienze Economiche;
89;Classe di Scienze Biomediche;
A1;Ingegneria Industriale;
04;Farmacia;
14;Sociologia;
18;Magistero;
21;Scienze Economiche e Sociali;
30;Scuola Superiore Studi Islamici;
34;Scuola Speciale Archivisti e Bibliotecari;
37;Classe di Scienze;
39;Classe di Scienze Sperimentali;
57;Scienze Umanistiche;
B4;Economia e Giurisprudenza;
999;Facolta' Non Definta;
