ID_SCUOLA;CODICE_SCUOLA;DENOMINAZIONE;TIPO_SCUOLA;ENTE;REGIONE;PROVINCIA;COMUNE;CAP;INDIRIZZO;TELEFONO;LIVELLO_FUNZIONALE;CODICE_SCUOLA_RIFERIMENTO;TIPOLOGIA;TIPOLOGIA_SEDE;PARITA;CODICE_ISTAT;
1243;CHPC001013;L.V.PUDENTE VASTO;LICEO CLASSICO;Statale;ABRUZZO;CHIETI;VASTO;66054;VIA DANTE G.ROSSETTI, 2;0873 367791;;CHIS00100Q;SS;;;069099;
1268;CHSD00101L;I.S.ARTE SC.A. L.CLASS. VASTO;ISTITUTO D'ARTE;Statale;ABRUZZO;CHIETI;VASTO;66054;VIA ROMA 46;0873 361692;;CHIS00100Q;SS;;;069099;
1257;CHRA00201G;I.P.A. E AMBIENTE SC.C. ITA SCE;ISTITUTO PROFESSIONALE PER L'AGRICOLTURA E L'AMBIENTE;Statale;ABRUZZO;CHIETI;LANCIANO;66034;TORRE SANSONE;0872 709068;;CHIS00200G;SS;;;069046;
1258;CHRA00202L;IPAGR E AMB.TE SC.A. ITA SCERN;ISTITUTO PROFESSIONALE PER L'AGRICOLTURA E L'AMBIENTE;Statale;ABRUZZO;CHIETI;PAGLIETA;66020;LOCALITA' PIANO LA BARCA;0872 80156;;CHIS00200G;SS;;;069059;
1263;CHRI003013;ISIS  ALGERI MARINO (EX. ITC - IPSIA);ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;Statale;ABRUZZO;CHIETI;CASOLI;66043;VIA DEL CAMPO, 35;0872 982141;;CHIS00300B;SS;;;069017;
1249;CHPS00301T;ALGERI MARINO;LICEO SCIENTIFICO;Statale;ABRUZZO;CHIETI;CASOLI;66043;VIA DEL CAMPO, 35;0872 982141;;CHIS00300B;SS;;;069017;
1270;CHTD00301N;ALGERI MARINO;ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI;Statale;ABRUZZO;CHIETI;CASOLI;66043;VIA DEL CAMPO SPORTIVO;0872 982141;;CHIS00300B;SS;;;069017;
1264;CHRI00401V;IPIA SC.AGGR. ITC ORTONA;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;Statale;ABRUZZO;CHIETI;ORTONA;66026;VIA GIOVANNI XXIII 56;085 9062138;;CHIS004007;SS;;;069058;
1276;CHTD00401D;L.EINAUDI;ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI;Statale;ABRUZZO;CHIETI;ORTONA;66026;CONTRADA S. LIBERATA;085 9062447;;CHIS004007;SS;;;069058;
1277;CHTD006015;S.SPAVENTA;ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI;Statale;ABRUZZO;CHIETI;ATESSA;66041;VIALE DELLA STAZIONE, 9;0872 865696;;CHIS00600V;SS;;;069005;
1260;CHRC00601T;S.SPAVENTA;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI, TURISTICI E DELLA PUBBLICITA';Statale;ABRUZZO;CHIETI;ATESSA;66041;VIALE DELLA STAZIONE, 9;0872 865696;;CHIS00600V;SS;;;069005;
12412;CHPS006019;S. SPAVENTA;LICEO SCIENTIFICO;Statale;ABRUZZO;CHIETI;ATESSA;66041;VIALE DELLA STAZIONE, 9;0872 865696;;CHIS00600V;;;;069005;
1250;CHPS007015;LIC. SCIENT. MATTIOLI;LICEO SCIENTIFICO;Statale;ABRUZZO;CHIETI;SAN SALVO;66050;VIA MONTE GRAPPA, 69;;;CHIS00700P;SS;;;069083;
1265;CHRI00701A;IPIA SC.AGG. ITC S.SALVO;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;Statale;ABRUZZO;CHIETI;SAN SALVO;66050;C.SO GARIBALDI;0873 54159;;CHIS00700P;SS;;;069083;
1280;CHTD007011;R. MATTIOLI;ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI;Statale;ABRUZZO;CHIETI;SAN SALVO;66050;VIA MONTE GRAPPA 69;0873 547801;;CHIS00700P;SS;;;069083;
1286;CHVC010004;G.B. VICO;CONVITTO ANNESSO;Statale;ABRUZZO;CHIETI;CHIETI;66100;CORSO MARRUCCINO 137;0871 320045;ISTITUZIONE EDUCAT.;CHIS00800E;;;;069022;
1241;CHPC02000B;G.B. VICO;LICEO CLASSICO;Statale;ABRUZZO;CHIETI;CHIETI;66100;CORSO MARRUCCINO 137;0871 330100;;CHIS00800E;;;;069022;
1283;CHTF01101V;L.DA VINCI;ISTITUTO TECNICO INDUSTRIALE;Statale;ABRUZZO;CHIETI;LANCIANO;66034;VIA GUIDO ROSATO;0872 45492;;CHIS01100A;;;;069046;
12292;CHPS01101R;DA VINCI;LICEO SCIENTIFICO;Statale;ABRUZZO;CHIETI;LANCIANO;66034;VIA GUIDO ROSATO, 5;;;CHIS01100A;;;;069046;
10493;CHPS01201L;LUIGI DI SAVOIA;LICEO SCIENTIFICO;Statale;ABRUZZO;CHIETI;CHIETI;66100;VIA E. GAETANI D'ARAGONA, 21;0871 344022;;CHIS012006;;;;069022;
11030;CHPS01301C;E. MATTEI;LICEO SCIENTIFICO;Statale;ABRUZZO;CHIETI;VASTO;66054;VIA SAN ROCCO;;;CHIS013002;;;;069099;
1248;CHPM014019;R. PANTINI;LICEO SCIENZE SOCIALI (ex IST. MAGISTRALE);Statale;ABRUZZO;CHIETI;VASTO;66054;VIA MADONNA DELL'ASILO,39;0873 367373;;CHIS01400T;;;;069099;
1242;CHPC02001C;LIC.CLASS. ORTONA SS. CHIETI;LICEO CLASSICO;Statale;ABRUZZO;CHIETI;ORTONA;66026;VIA PAPA GIOVANNI XXIII;085 9062140;;CHPC02000B;SS;;;069058;
1245;CHPC04002P;S.LANCIANO;LICEO CLASSICO;Statale;ABRUZZO;CHIETI;ATESSA;66041;VIA D. CIAMPOLI;;;CHPC04000L;SS;;;069005;
8865;CHPSX00042;F.MASCI;LICEO SCIENTIFICO;Statale;ABRUZZO;CHIETI;GUARDIAGRELE;66016;VIA GRELE;0871 809355;;CHPS01000X;SS;;;069043;
1256;CHPS04002T;ALESSANDRO VOLTA;LICEO SCIENTIFICO;Statale;ABRUZZO;CHIETI;ORTONA;66026;VIA L. FERRARI;085 9063217;;CHPS04000Q;SS;;;069058;
