ID_SETTORE;NOME_SETTORE;CODICE_AREA;DESCRIZIONE_AREA;
SECS-S/05;STATISTICA SOCIALE;13;SCIENZE ECONOMICHE E STATISTICHE;
SECS-S/06;METODI MATEMATICI DELL'ECONOMIA E DELLE SCIENZE ATTUARIALI E FINANZIARIE;13;SCIENZE ECONOMICHE E STATISTICHE;
SPS/01;FILOSOFIA POLITICA;14;SCIENZE POLITICHE E SOCIALI;
SPS/02;STORIA DELLE DOTTRINE POLITICHE;14;SCIENZE POLITICHE E SOCIALI;
SPS/03;STORIA DELLE ISTITUZIONI POLITICHE;14;SCIENZE POLITICHE E SOCIALI;
SPS/04;SCIENZA POLITICA;14;SCIENZE POLITICHE E SOCIALI;
SPS/05;STORIA E ISTITUZIONI DELLE AMERICHE;14;SCIENZE POLITICHE E SOCIALI;
SPS/06;STORIA DELLE RELAZIONI INTERNAZIONALI;14;SCIENZE POLITICHE E SOCIALI;
SPS/07;SOCIOLOGIA GENERALE;14;SCIENZE POLITICHE E SOCIALI;
SPS/08;SOCIOLOGIA DEI PROCESSI CULTURALI E COMUNICATIVI;14;SCIENZE POLITICHE E SOCIALI;
SPS/09;SOCIOLOGIA DEI PROCESSI ECONOMICI E DEL LAVORO;14;SCIENZE POLITICHE E SOCIALI;
SPS/10;SOCIOLOGIA DELL'AMBIENTE E DEL TERRITORIO;14;SCIENZE POLITICHE E SOCIALI;
SPS/11;SOCIOLOGIA DEI FENOMENI POLITICI;14;SCIENZE POLITICHE E SOCIALI;
SPS/12;SOCIOLOGIA GIURIDICA, DELLA DEVIANZA E MUTAMENTO SOCIALE;14;SCIENZE POLITICHE E SOCIALI;
SPS/13;STORIA E ISTITUZIONI DELL'AFRICA;14;SCIENZE POLITICHE E SOCIALI;
SPS/14;STORIA E ISTITUZIONI DELL'ASIA;14;SCIENZE POLITICHE E SOCIALI;
VET/01;ANATOMIA DEGLI ANIMALI DOMESTICI;07;SCIENZE AGRARIE E VETERINARIE;
VET/02;FISIOLOGIA VETERINARIA;07;SCIENZE AGRARIE E VETERINARIE;
VET/03;PATOLOGIA GENERALE E ANATOMIA PATOLOGICA VETERINARIA;07;SCIENZE AGRARIE E VETERINARIE;
VET/04;ISPEZIONE DEGLI ALIMENTI DI ORIGINE ANIMALE;07;SCIENZE AGRARIE E VETERINARIE;
