ID_STRUTTURA;CODE_UN;NOME_STRUTTURA;FLAG_DIPARTIMENTO;
12415;61;Economia E Finanza;1;
12416;61;Impresa E Management;1;
12417;61;Scienze Politiche;1;
12418;61;Giurisprudenza;1;
12419;C5;Scienze Giuridiche, Storiche, Economiche E Sociali;1;
12421;C5;Medicina Sperimentale E Clinica;1;
12422;C5;Scienze Della Salute;1;
12423;C5;Scienze Mediche E Chirurgiche;1;
12424;C5;Scuola Di Medicina E Chirurgia;0;
12425;C5;Scuola Di Farmacia E Nutraceutica;0;
12438;01;Scienze Agrarie, Alimentari Ed Ambientali;1;
12439;01;Management;1;
12442;01;Scienze Economiche E Sociali;1;
12443;01;Ingegneria Dell'Informazione;1;
12444;01;Ingegneria Civile, Edile E Architettura;1;
12445;01;Ingegneria Industriale E Scienze Matematiche;1;
12446;01;Scienze E Ingegneria Della Materia, Dell'Ambiente Ed Urbanistica;1;
12447;01;Medicina Sperimentale E Clinica;1;
12449;01;Scienze Biomediche E Sanita' Pubblica;1;
12450;01;Scienze  Cliniche Specialistiche Ed Odontostomatologiche;1;
12451;01;Scienze Cliniche E Molecolari;1;
12453;01;Scienze Della Vita E Dell'Ambiente;1;
12474;C8;Scienze Della Salute;1;
12475;C8;Medicina Traslazionale;1;
12476;C8;Giurisprudenza E Scienze Politiche, Economiche E Sociali;1;
12477;C8;Scienze Del Farmaco;1;
12478;C8;Studi Umanistici;1;
12479;C8;Scienze E Innovazione Tecnologica (Disit);1;
12480;C8;Studi Per L'Economia E L'Impresa;1;
12481;29;Agraria;1;
12485;08;Fisica Ed Astronomia;1;
12486;08;Matematica E Informatica;1;
12487;08;Scienze Chimiche;1;
12488;08;Scienze Del Farmaco;1;
12489;08;Scienze Bio-Mediche;1;
12490;08;Scienze Politiche E Sociali;1;
12494;08;Economia E Impresa;1;
12500;08;Gestione Dei Sistemi Agroalimentari E Ambientali;1;
12502;08;Scienze Della Formazione;1;
12506;08;Scienze Delle Produzioni Agrarie E Alimentari;1;
12507;08;Scienze Umanistiche;1;
12508;08;Ingegneria Civile E Architettura (Dicar);1;
12509;08;Ingegneria Civile E Ambientale (Dica);1;
12510;08;Ingegneria Elettrica Elettronica E Informatica (Dieei);1;
12511;08;Ingegneria Industriale (Dii);1;
12515;08;Anatomia, Biologia E Genetica, Medicina Legale, Neuroscienze, Patologia Diagnostica, Igiene E Sanita' Pubblica (Gian Filippo Ingrassia);1;
12516;08;Biomedicina Clinica E Molecolare;1;
12517;08;Chirurgia;1;
12518;08;Scienze Mediche E Pediatriche;1;
12519;08;Scienze Chirurgiche, Trapianti D'Organo E Tecnologie Avanzate;1;
12520;08;Specialita' Medico-Chirurgiche;1;
12521;08;Giurisprudenza;1;
12522;08;Scienze Biologiche, Geologiche E Ambientali;1;
12524;08;Struttura Didattica Speciale Di Architettura;1;
12525;60;Scienze Umane - Comunicazione, Formazione E Psicologia;1;
12526;60;Scienze Economiche, Politiche E Delle Lingue Moderne;1;
12527;60;Giurisprudenza;1;
12528;29;Chimica E Farmacia;1;
12529;29;Scienze Economiche E Aziendali;1;
12530;07;Lettere E Filosofia;1;
12531;07;Scienze Umane, Sociali E Della Salute;1;
12532;07;Ingegneria Civile E Meccanica;1;
12533;07;Ingegneria Elettrica E Dell'Informazione "Maurizio Scarano";1;
12534;07;Economia E Giurisprudenza;1;
12540;19;Biologia;1;
