COD_TIPO_STRUTTURA_ATENEO;DESC_TIPO_STRUTTURA_ATENEO;
AFAM - ACCAD;Accademie di belle arti-arte drammatica-danza;
AFAM - CONS;Conservatori di musica o Istituti Musicali;
AFAM - DESIGN;Istituto d'Arte Applicata e Design  (IAAD) e Istituto Europeo di Design (IED);
AFAM - ISIA;Istituti Superiori per le Industrie Artistiche (ISIA);
ALTRO;Altri Enti;
EDFIS;Istituto Superiore di Educazione Fisica;
MILITARE;Accademie Militari  (Aeronautica, Navale, ...);
PONT;Università Pontificia o Facoltà di Teologia;
SC;Scuole Civiche;
SSML - LING;Scuola Superiore per Mediatori Linguistici - SSML;
UNITEL;Università Telematiche;
UNIV;Università;
