ID_TIPO_LAUREA;DESCRIZIONE;
DS;Diploma di Scuola Superiore;
SF;Scuola Diretta Ai Fini Speciali;
DU;Diploma Universitario;
DL;Diploma Mediatore Linguistico;
DF;Diploma in Educazione Fisica;
LV;Laurea Vecchio Ordinamento;
DA;Diploma Accademico Quadriennale;
LT;Laurea Triennale;
A1;Diploma Accademico di Primo Livello;
CP;Corso di Perfezionamento;
M1;Master di Primo Livello;
TU;Laurea a Ciclo Unico;
M2;Master di Secondo Livello;
MA;Altri Master;
LS;Laurea Specialistica ;
A2;Diploma Accademico di Secondo Livello;
MT;Laurea (dm 270/04);
AP;Abilitazione Professionale;
LM;Laurea Magistrale Ciclo Unico (dm 270/04);
TS;Titolo generico d'area medica/ospedaliera;
MS;Laurea Magistrale (dm 270/04);
SI;Scuola di Specializzazione per Insegnanti;
SM;Scuola di Specializzazione Medica;
SL;Scuola di Specializzazione Professioni Legali;
SA;Altre Scuole di Specializzazione;
SB;Scuola di Specializzazione Area Beni Culturali (Riordino Sc.Spec.);
SV;Scuola di Specializzazione Area Veterinaria (Riordino Sc.Spec.);
SS;Scuola di Specializzazione Area Servizi Clinici (Riordino Sc.Spec.);
SC;Scuola di Specializzazione Area Chirurgica (Riordino Sc.Spec.);
SP;Scuola di Specializzazione Area Psicologica (Riordino Sc.Spec.);
SD;Scuola di Specializzazione Area Medica (Riordino Sc.Spec.);
DR;Dottorato di Ricerca;
TF;Tirocinio Formativo Attivo (TFA);
CF;Corso di Formazione Professionale;
EE;Laurea Estera;
99;Non Inserito;
