CODICE_TIPO_SCUOLA;DESCRIZIONE;
PC;LICEO CLASSICO;
PS;LICEO SCIENTIFICO;
SL;LICEO ARTISTICO;
PL;LICEO LINGUISTICO;
PM;LICEO SCIENZE SOCIALI (ex ISTITUTO e SCUOLA MAGISTRALE);
PQ;SCUOLA MAGISTRALE;
RI;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;
RM;ISTITUTO PROFESSIONALE INDUSTRIA E ATTIVITA' MARINARE;
RE;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO PER CIECHI;
RS;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO PER SORDOMUTI;
RT;ISTITUTO PROFESSIONALE PER L'INDUSTRIA EDILE;
RC;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI, TURISTICI E DELLA PUBBLICITA';
RC;ISTITUTO PROFESSIONALE PER I SERVIZI TURISTICI;
RC;ISTITUTO PROFESSIONALE PER I SERVIZI PUBBLICITARI;
RC;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI;
RC;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI;
RA;ISTITUTO PROFESSIONALE PER L'AGRICOLTURA E L'AMBIENTE;
RV;ISTITUTO PROFESSIONALE CINEMATOGRAFIA E TELEVISIONE;
RH;ISTITUTO PROFESSIONALE ALBERGHIERO;
RA;ISTITUTO PROFESSIONALE PER L'AGRICOLTURA;
RF;ISTITUTO PROFESSIONALE FEMMINILE;
RF;ISTITUTO PROFESSIONALE PER I SERVIZI SOCIALI;
RH;ISTITUTO PROFESSIONALE PER I SERVIZI ALBERGHIERI E RISTORAZIONE;
TD;ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI;
TD;ISTITUTO TECNICO COMMERCIALE;
TL;ISTITUTO TECNICO PER GEOMETRI;
TF;ISTITUTO TECNICO INDUSTRIALE;
TA;ISTITUTO TECNICO AGRARIO;
TB;ISTITUTO TECNICO AREONAUTICO;
TH;ISTITUTO TECNICO NAUTICO;
TN;ISTITUTO TECNICO PER IL TURISMO;
TE;ISTITUTO TECNICO PER ATTIVITA' SOCIALI (GIA' ITF);
SD;ISTITUTO D'ARTE;
SM;ACCADEMIA DI BELLE ARTI;
SQ;ISTITUTO SUPERIORE PER LE INDUSTRIE ARTI;
ST;CONSERVATORIO DI MUSICA;
SQ;ISTITUTO SUPERIORE PER LE INDUSTRIE ARTISTICHE;
VC;CONVITTO NAZIONALE;
IS;ISTITUTO SUPERIORE;
SR;ACCADEMIA NAZIONALE D'ARTE DRAMMATICA;
SN;ACCADEMIA NAZIONALE DI DANZA;
VC;CONVITTO ANNESSO;
VE;EDUCANDATO;
PE;LICEO EUROPEO;
94;Scuole di cui all'art. 391 del D.L.vo 297/94 (Diploma di baccellierato);
95;Istituto Valido: Legge Speciale 1/2002;
96;Istituto Valido: Legge Speciale 143/2004;
RR;Scuola Regionale;
98;Scuola estera;
99;Non fornito;
