ID_DIPLOMA;DESCRIZIONE;TIPO_SCUOLA;CODICE_TIPO_SCUOLA;
9994;Diploma di baccellierato internazionale  (art. 391 del D.L.vo 297/94);Scuole di cui all'art. 391 del D.L.vo 297/94 (Diploma di baccellierato);94;
9995;Diploma - Legge Speciale 1/2002;Istituto Valido: Legge Speciale 1/2002;95;
9996;Diploma - Legge Speciale 143/2004;Istituto Valido: Legge Speciale 143/2004;96;
9998;Diploma estero;Scuola estera;98;
9999;Diploma non fornito;Non fornito;99;
215;LICENZA DI TEOLOGIA;Non fornito;99;
300;LICEO ARTISTICO - INDIRIZZO ARTI FIGURATIVE;Non fornito;99;
301;LICEO ARTISTICO - INDIRIZZO ARCHITETTURA E AMBIENTE;Non fornito;99;
302;LICEO ARTISTICO - INDIRIZZO DESIGN;Non fornito;99;
303;LICEO ARTISTICO - INDIRIZZO AUDIOVISIVO MULTIMEDIA;Non fornito;99;
304;LICEO ARTISTICO - INDIRIZZO GRAFICA;Non fornito;99;
305;LICEO ARTISTICO - INDIRIZZO SCENOGRAFIA;Non fornito;99;
306;LICEO MUSICALE E COREUTICO – SEZIONE MUSICALE O COREUTICA;Non fornito;99;
307;LICEO DELLE SCIENZE UMANE;Non fornito;99;
308;IP SERVIZI PER L'AGRICOLTURA E LO SVILUPPO RURALE;Non fornito;99;
309;IP SERVIZI SOCIO-SANITARI;Non fornito;99;
310;IP SERVIZI PER L'ENOGASTRONOMIA E L'OSPITALITA' ALBERGHIERA;Non fornito;99;
311;IP SERVIZI COMMERCIALI;Non fornito;99;
312;IP INDUSTRIA E ARTIGIANATO - MANUTENZIONE E ASSISTENZA TECNICA;Non fornito;99;
313;IP INDUSTRIA E ARTIGIANATO - PRODUZIONI INDUSTRIALI E ARTIGIANALI;Non fornito;99;
315;IT ECONOMICO - TURISMO;Non fornito;99;
316;IT TECNOLOGICO - MECCANICA, MECCATRONICA ED ENERGIA;Non fornito;99;
317;IT TECNOLOGICO - TRASPORTI E LOGISTICA;Non fornito;99;
318;IT TECNOLOGICO - ELETTRONICA ED ELETTROTECNICA;Non fornito;99;
319;IT TECNOLOGICO - INFORMATICA E TELECOMUNICAZIONI;Non fornito;99;
320;IT TECNOLOGICO - GRAFICA E COMUNICAZIONE;Non fornito;99;
321;IT TECNOLOGICO - CHIMICA, MATERIALI E BIOTECNOLOGIE;Non fornito;99;
322;IT TECNOLOGICO - SISTEMA MODA;Non fornito;99;
323;IT TECNOLOGICO - AGRARIA, AGROALIMENTARE E AGROINDUSTRIA;Non fornito;99;
324;IT TECNOLOGICO - COSTRUZIONI, AMBIENTE E TERRITORIO;Non fornito;99;
325;LICEO DELLE SCIENZE UMANE CON OPZ. ECONOMICO-SOCIALE;Non fornito;99;
326;LICEO SCIENTIFICO CON OPZ. SCIENZE APPLICATE;Non fornito;99;
327;LICEO SCIENTIFICO AD INDIRIZZO SPORTIVO;Non fornito;99;
328;IT ECONOMICO - AMMINISTRAZIONE, FINANZA E MARKETING;Non fornito;99;
1;LICEO CLASSICO;LICEO CLASSICO;PC;
216;LICENZA LICEALE EUROPEA;LICEO EUROPEO;PE;
2;LICEO LINGUISTICO;LICEO LINGUISTICO;PL;
3;ISTITUTO MAGISTRALE - DIPLOMA QUINQUENNALE;LICEO SCIENZE SOCIALI (ex ISTITUTO e SCUOLA MAGISTRALE);PM;
217;MATURITA' DI LICEO DI SCIENZE SOCIALI;LICEO SCIENZE SOCIALI (ex ISTITUTO e SCUOLA MAGISTRALE);PM;
218;MATURITA' DI LICEO SOCIO-PSICO-PEDAGOGICO;LICEO SCIENZE SOCIALI (ex ISTITUTO e SCUOLA MAGISTRALE);PM;
219;MATURITA' DI LICEO DELLA COMUNICAZIONE;LICEO SCIENZE SOCIALI (ex ISTITUTO e SCUOLA MAGISTRALE);PM;
118;ISTITUTO MAGISTRALE - DIPLOMA QUADRIENNALE;SCUOLA MAGISTRALE;PQ;
211;ISTITUTO MAGISTRALE - DIPLOMA QUADRIENNALE E ANNO INTEGRATIVO;SCUOLA MAGISTRALE;PQ;
329;SCUOLA MAGISTRALE  - DIPLOMA TRIENNALE;SCUOLA MAGISTRALE;PQ;
4;LICEO SCIENTIFICO;LICEO SCIENTIFICO;PS;
20;AGROTECNICO;ISTITUTO PROFESSIONALE PER L'AGRICOLTURA;RA;
20;AGROTECNICO;ISTITUTO PROFESSIONALE PER L'AGRICOLTURA E L'AMBIENTE;RA;
5;OPERATORE COMMERCIALE;ISTITUTO PROFESSIONALE PER I SERVIZI PUBBLICITARI;RC;
5;OPERATORE COMMERCIALE;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI, TURISTICI E DELLA PUBBLICITA';RC;
5;OPERATORE COMMERCIALE;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI;RC;
5;OPERATORE COMMERCIALE;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI;RC;
5;OPERATORE COMMERCIALE;ISTITUTO PROFESSIONALE PER I SERVIZI TURISTICI;RC;
11;TECNICO GESTIONE AZIENDALE INFORMATICA;ISTITUTO PROFESSIONALE PER I SERVIZI PUBBLICITARI;RC;
11;TECNICO GESTIONE AZIENDALE INFORMATICA;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI, TURISTICI E DELLA PUBBLICITA';RC;
11;TECNICO GESTIONE AZIENDALE INFORMATICA;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI;RC;
11;TECNICO GESTIONE AZIENDALE INFORMATICA;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI;RC;
11;TECNICO GESTIONE AZIENDALE INFORMATICA;ISTITUTO PROFESSIONALE PER I SERVIZI TURISTICI;RC;
12;TECNICO GESTIONE AZIENDALE LINGUISTICA;ISTITUTO PROFESSIONALE PER I SERVIZI PUBBLICITARI;RC;
12;TECNICO GESTIONE AZIENDALE LINGUISTICA;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI, TURISTICI E DELLA PUBBLICITA';RC;
12;TECNICO GESTIONE AZIENDALE LINGUISTICA;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI;RC;
12;TECNICO GESTIONE AZIENDALE LINGUISTICA;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI;RC;
12;TECNICO GESTIONE AZIENDALE LINGUISTICA;ISTITUTO PROFESSIONALE PER I SERVIZI TURISTICI;RC;
115;TECNICO DELLA GRAFICA PUBBLICITARIA;ISTITUTO PROFESSIONALE PER I SERVIZI PUBBLICITARI;RC;
115;TECNICO DELLA GRAFICA PUBBLICITARIA;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI, TURISTICI E DELLA PUBBLICITA';RC;
115;TECNICO DELLA GRAFICA PUBBLICITARIA;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI;RC;
115;TECNICO DELLA GRAFICA PUBBLICITARIA;ISTITUTO PROFESSIONALE PER I SERVIZI COMMERCIALI E TURISTICI;RC;
