ID_UNIVERSITA;NOME;STATALE;VIA;CAP;COD_COMUNE;COMUNE;PROVINCIA;COD_TIPO_STRUTTURA_ATENEO;NOTA;ANNO_INTRODUZIONE;
01;Università Politecnica delle MARCHE;Statale;P.zza Roma, 22;60121;042002;ANCONA;AN;UNIV;;;
02;Università degli Studi di BARI "Aldo Moro";Statale;P.zza Umberto I, 1 Palazzo Ateneo;70121;072006;BARI;BA;UNIV;;;
48;Politecnico di BARI;Statale;Via Amendola, 126/B;70126;072006;BARI;BA;UNIV;;;
D1;Università Mediterranea "Jean Monnet";Non Statale;S.S. 100 Km 18;70010;072015;CASAMASSIMA;BA;UNIV;;;
38;Università degli Studi della BASILICATA;Statale;Via Nazario Sauro, 85;85100;076063;POTENZA;PZ;UNIV;;;
51;Università degli Studi di BERGAMO;Statale;Via Salvecchio, 19;24129;016024;BERGAMO;BG;UNIV;;;
03;Università degli Studi di BOLOGNA;Statale;Via Zamboni, 33;40126;037006;BOLOGNA;BO;UNIV;;;
C3;Libera Università di BOLZANO;Non Statale;Via Sernesi, 1;39100;021008;BOLZANO - BOZEN;BZ;UNIV;;;
46;Università degli Studi di BRESCIA;Statale;Piazza del Mercato, 15;25121;017029;BRESCIA;BS;UNIV;;;
04;Università degli Studi di CAGLIARI;Statale;Via Universita', 40;09123;092009;CAGLIARI;CA;UNIV;;;
05;Università della CALABRIA;Statale;Via Pietro Bucci;87036;078102;RENDE;CS;UNIV;;;
06;Università degli Studi di CAMERINO;Statale;Via del Bastione, 2;62032;043007;CAMERINO;MC;UNIV;;;
07;Università degli Studi di CASSINO e del LAZIO MERIDIONALE;Statale;Viale dell'Università-Rettorato CampusUniversitario - località Folcara;03043;060019;CASSINO;FR;UNIV;;;
50;Università "Carlo Cattaneo" - LIUC;Non Statale;Corso Matteotti, 22;21053;012042;CASTELLANZA;VA;UNIV;;;
08;Università degli Studi di CATANIA;Statale;P.zza dell'Universita',2;95124;087015;CATANIA;CT;UNIV;;;
52;Istituto Universitario di Magistero CATANIA;Statale;;;087015;CATANIA;CT;UNIV;Cessata in data 01/11/1990;;
