ID_VOTO_DIPLOMA;DESCRIZIONE;
D60;60/100 - 36/60;
D61;61/100 - 37/60;
D62;62/100 - 37/60;
D63;63/100 - 38/60;
D64;64/100 - 38/60;
D65;65/100 - 39/60;
D66;66/100 - 40/60;
D67;67/100 - 40/60;
D68;68/100 - 41/60;
D69;69/100 - 41/60;
D70;70/100 - 42/60;
D71;71/100 - 43/60;
D72;72/100 - 43/60;
D73;73/100 - 44/60;
D74;74/100 - 44/60;
D75;75/100 - 45/60;
D76;76/100 - 46/60;
D77;77/100 - 46/60;
D78;78/100 - 47/60;
D79;79/100 - 47/60;
D80;80/100 - 48/60;
D81;81/100 - 49/60;
D82;82/100 - 49/60;
D83;83/100 - 50/60;
D84;84/100 - 50/60;
D85;85/100 - 51/60;
D86;86/100 - 52/60;
D87;87/100 - 52/60;
D88;88/100 - 53/60;
D89;89/100 - 53/60;
D90;90/100 - 54/60;
D91;91/100 - 55/60;
D92;92/100 - 55/60;
D93;93/100 - 56/60;
D94;94/100 - 56/60;
D95;95/100 - 57/60;
D96;96/100 - 58/60;
D97;97/100 - 58/60;
D98;98/100 - 59/60;
D99;99/100 - 59/60;
D100;100/100 - 60/60;
D101;100/100 - 60/60 con lode;
D102;idoneo;
D103;non idoneo;
9997;Voto non previsto;
9998;Diploma estero;
9999;Voto non fornito;
