ID_VOTO_LAUREA;DESCRIZIONE;
L66;66/110 - 60/100;
L67;67/110 - 61/100;
L68;68/110 - 62/100;
L69;69/110 - 63/100;
L70;70/110 - 64/100;
L71;71/110 - 65/100;
L72;72/110 - 65/100;
L73;73/110 - 66/100;
L74;74/110 - 67/100;
L75;75/110 - 68/100;
L76;76/110 - 69/100;
L77;77/110 - 70/100;
L78;78/110 - 71/100;
L79;79/110 - 72/100;
L80;80/110 - 73/100;
L81;81/110 - 74/100;
L82;82/110 - 75/100;
L83;83/110 - 75/100;
L84;84/110 - 76/100;
L85;85/110 - 77/100;
L86;86/110 - 78/100;
L87;87/110 - 79/100;
L88;88/110 - 80/100;
L89;89/110 - 81/100;
L90;90/110 - 82/100;
L91;91/110 - 83/100;
L92;92/110 - 84/100;
L93;93/110 - 85/100;
L94;94/110 - 85/100;
L95;95/110 - 86/100;
L96;96/110 - 87/100;
L97;97/110 - 88/100;
L98;98/110 - 89/100;
L99;99/110 - 90/100;
L100;100/110 - 91/100;
L101;101/110 - 92/100;
L102;102/110 - 93/100;
L103;103/110 - 94/100;
L104;104/110 - 95/100;
L105;105/110 - 95/100;
L106;106/110 - 96/100;
L107;107/110 - 97/100;
L108;108/110 - 98/100;
L109;109/110 - 99/100;
L110;110/110 - 100/100;
L111;110/110 - 100/100 con lode;
L112;Idoneo;
9997;Voto non previsto;
9998;Laurea estera;
9999;Voto non fornito;
