COD;DES;TIPO_CORSO_COD;CLA_ATENEO_COD;NORM_COD;CODICIONE;MAX_DURATA_ANNI;COD_1;DES_1
2011;DIPARTIMENTO DI GIURISPRUDENZA;L2;31;DM509;0580704015000001;3;101003;SCIENZE GIURIDICHE (CORSO AD ESAURIMENTO)
2011;DIPARTIMENTO DI GIURISPRUDENZA;L2;31;DM509;0580704015000001;3;101005;SCIENZE GIURIDICHE (CORSO RIFORMATO)
2011;DIPARTIMENTO DI GIURISPRUDENZA;LS;22/S;DM509;0580704042100001;2;101501;GIURISPRUDENZA (CORSO AD ESAURIMENTO)
2011;DIPARTIMENTO DI GIURISPRUDENZA;LS;22/S;DM509;0580705042100001;2;101503;GIURISPRUDENZA ITALO FRANCESE
2011;DIPARTIMENTO DI GIURISPRUDENZA;LS;22/S;DM509;0580704042100001;2;101505;GIURISPRUDENZA (CORSO RIFORMATO)
2011;DIPARTIMENTO DI GIURISPRUDENZA;LM5;LMG/01;DM270;0580707051400001;5;101601;GIURISPRUDENZA (CICLO UNICO)
2011;DIPARTIMENTO DI GIURISPRUDENZA;L2;L-14;DM270;0580706201400001;3;101605;SCIENZE DEI SERVIZI GIURIDICI (DM 270)
2041;DIPARTIMENTO DI MATEMATICA E FISICA;L2;25;DM509;0580704005200001;3;104014;FISICA (PRIMO LIVELLO)
2041;DIPARTIMENTO DI MATEMATICA E FISICA;L2;32;DM509;0580704005000001;3;104015;MATEMATICA (PRIMO LIVELLO)
2042;DIPARTIMENTO DI SCIENZE;L2;12;DM509;0580704005500001;3;104016;SCIENZE BIOLOGICHE (PRIMO LIVELLO)
2042;DIPARTIMENTO DI SCIENZE;L2;16;DM509;0580704005400001;3;104017;SCIENZE GEOLOGICHE (PRIMO LIVELLO)
2042;DIPARTIMENTO DI SCIENZE;L2;25;DM509;0580704005200003;3;104018;OTTICA E OPTOMETRIA
2042;DIPARTIMENTO DI SCIENZE;LS;86/S;DM509;0580704048500002;2;104501;GEOLOGIA DEL TERRITORIO E DELLE RISORSE
