COD;DES
13;ECONOMIA DEL BENESSERE V.O.
14;PETROGRAFIA DEL SEDIMENTARIO (SEM) V.O.
15;PETROLOGIA (SEM) V.O.
16;ARCHEOLOGIA E STORIA DELL'ARTE GRECA I V.O.
17;URBANISTICA I V.O.
18;TECNOLOGIE DEI SISTEMI STRUTTURALI V.O.
19;DIRITTO PENITENZIARIO (2 SEM) V.O.
20;VIROLOGIA V.O.
21;TECNICHE GRAFICHE SPECIALI V.O.
22;BENI CULTURALI E AMBIENTALI V.O.
23;ECONOMIA ED ORGANIZZAZIONE AZIENDALE II MOD. V.O.
24;ZOOLOGIA DEI VERTEBRATI V.O.
25;GEOGRAFIA FISICA V.O.
26;ISTITUZIONI DI MATEMATICHE II V.O.
27;MINERALOGIA E LABORATORIO V.O.
28;FISICA TERRESTRE V.O.
29;GEOMETRIA V.O.
30;FISICA GENERALE II V.O.
31;ANALISI MATEMATICA II V.O.
32;LABORATORIO DI BIOLOGIA SPERIMENTALE I V.O.
33;BIOTECNOLOGIE DEI MICROORGANISMI V.O.
34;CHIMICA (SEM) V.O.
35;MATEMATICA I (SEM) V.O.
36;ANALISI FUNZIONALE V.O.
37;ANALISI NUMERICA V.O.
38;ANALISI SUPERIORE V.O.
39;SIST.INFOR. GEOGR./TERR.(SEM) V.O.
40;ASTROFISICA DELLE ALTE ENERGIE V.O.
41;PALEONTOLOGIA II (SEM) V.O.
42;GEOLOGIA IV (SEM) V.O.
43;GEOMORFOLOGIA (SEM) V.O.
44;RILEVAMENTO GEOLOGICO (SEM) V.O.
45;GEOCHIMICA II V.O.
46;PETROGRAFIA I (SEM) V.O.
47;PETROGRAFIA II (SEM) V.O.
48;GEOLOGIA APPLICATA II (SEM) V.O.
49;PROSPEZIONI GEOFISICHE (SEM) V.O.
50;STRATIGR. PALEONT. QUATERN.(SEM) V.O.
51;PETROLOGIA (SEM) V.O.
52;STRATIGRAFIA SEQUENZIALE (SEM) V.O.
53;DIRITTO DELLA COMUNITA' EUROPEA V.O.
54;DIRITTO DELLA COMUNITA' EUROPEA V.O.
55;STORIA DELLE DOTTRINE ECONOMICHE 2 V.O.
56;STORIA DELLA SCIENZA 2 V.O.
57;STORIA DEGLI ANTICHI STATI ITALIANI V.O.
58;STORIA DELL'ETA' DELL'ILLUMINISMO 3 V.O.
59;CHIMICA V.O.
60;COSTRUZIONE IN ZONA SISMICA V.O.
61;METODOLOGIA DELLA SCIENZA GIURIDICA V.O.
62;FILOSOFIA DEL MONDO V.O.
63;TEORIA E TECN. DELLA COMUN.PUBBLICITARIA V.O.
64;MISURE CHIMICO FISICHE V.O.
65;MISURE E COLLAUDI TERMICI E MECCANICI V.O.
66;TEORIA E TECN.DEI TEST DI PERSONALITA' V.O.
67;PALEOCLIMATOLOGIA V.O.
68;CARTOGRAFIA GEOGRAFICA (SEM) V.O.
69;PSICOLOGIA GERONTOLOGICA (2 SEM) V.O.
70;ORGANIZZAZIONE DELLE RISORSE UMANE V.O.
71;FITOGEOGRAFIA V.O.
72;FISICA II (SEM) V.O.
73;LETTERATURE COMPARATE 2 V.O.
74;GENETICA UMANA V.O.
76;LINGUA SPAGNOLA V.O.
77;LINGUA RUSSA IDONEITA' V.O.
78;TIROCINI I (1 SEM) V.O.
79;TIROCINI I (2 SEM) V.O.
80;ORGANIZZAZIONE E PIANIFICAZIONE DEL TERRITOR V.O.
81;TIROCINI II (1 SEM) V.O.
82;TIROCINI II (2 SEM) V.O.
83;GLOTTOLOGIA 2 V.O
84;ST.DEL TEATRO E DELLO SPETT.TEORIE E NOVECENT V.O
85;GEOLOGIA DEL PETROLIO (SEM) V.O.
86;FOTOGEOLOGIA (SEM) V.O.
87;STORIA DELL'ARTE DEL LAZIO V.O.
88;ISTITUZIONI DI MATEMATICHE I V.O.
89;FISICA SPERIMENTALE II V.O.
90;GEOMORFOLOGIA V.O.
91;LABORATORIO DI MINERALOGIA V.O
92;ESPERIMENTAZIONE FISICA II V.O
93;MECCANICA RAZIONALE CON ELEMEN. MECC. STAT. V.O
94;STORIA DELL'EUROPA OCCIDENTALE V.O
95;GEODINAMICA (SEM) V.O
96;FISICA DELLA TERRA SOLIDA (SEM) V.O.
97;GEMMOLOGIA SEM. V.O.
98;MAGMATOLOGIA (SEM) V.O.
99;GEOCHIMICA AMBIENTALE (SEM.) V.O.
100;FISICA DELLE ROCCE E DEI MINERALI (SEM) V.O
101;CONSERVAZIONE DELLA NATURA E SUE RISORSE V.O
102;GEOLOGIA AMBIENTALE (SEM) V.O
104;DIRITTO PUBBLICO DELL'ECONOMIA I MODULO V.O
105;ECOLOGIA PREISTORICA V.O
106;EDUCAZIONE PSICOMOTORIA (2 SEM) V.O
107;METODI E TECNICHE SERVIZIO SOCIALE 3 V.O
108;APPL. CALCOLO ALLA STRUMEN. FISICA (I° MODULO) V.O.
109;WEB ECONOMY II MOD. V.O.
110;ECONOMIA V.O
111;SCIENZA DELLE FINANZE V.O
112;STORIA E CRITICA DELLE DOTTRINE ECONOMICHE V.O
113;ECONOMIA DELL'AMBIENTE AGRO-FORESTALE V.O
114;STATISTICA PER L'AMBIENTE V.O
120;EDUCAZIONE PSICOMOTORIA (1 SEM) V.O
121;MUTAGENESI AMBIENTALE V.O.
122;RADIOPROTEZIONE FISICA V.O.
125;DIRITTO COMMERCIALE EUROPEO V.O.
126;DIRITTO COMMERCIALE I (II ANNUALITA') V.O.
127;DIRITTO AMMINISTRATIVO II V.O.
128;DIRITTO ROMANO (II ANNUALITA') V.O.
129;DIRITTO COMUNE V.O.
130;PROCEDURA PENALE V.O.
131;DIRITTO BANCARIO V.O.
132;LINGUA FRANCESE (BIENNALE) V.O.
133;LINGUA INGLESE (BIENNALE) V.O.
134;STORIA CONTEMPORANEA (CORSO ISTITUZIONALE) V.O.
135;STORIA DELLE DOTTRINE POLITICHE V.O.
136;MATEMATICA PER LE SCIENZE SOCIALI V.O.
137;LINGUA SPAGNOLA (BIENNALE) V.O.
138;DIRITTO INTERNAZIONALE PUBBLICO V.O.
139;DIRITTO PARLAMENTARE V.O.
140;DIRITTO PRIVATO COMPARATO V.O.
141;DIRITTO REGIONALE V.O
142;ORGANIZZAZIONE DEL LAVORO V.O
143;ORGANIZZAZIONE DELLE AZIENDE E AMMIN. PUBBL. V.O
144;STORIA DEL PENSIERO POLITICO MODERNO V.O
145;STORIA DELLE RELAZIONI INTERNAZIONALI V.O.
146;STORIA E ISTITUZIONI DEI PAESI AFRO-ASIATICI V.O
147;LINGUA RUSSA (BIENNALE) V.O
148;STORIA DELL'EUROPA OCCIDENTALE V.O
149;GEOGRAFIA POLITICA ED ECONOMICA V.O
